('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      305    0.854    0.003    0.854    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.038    0.038    0.038    0.038 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.033    0.033    0.033    0.033 {method 'do_handshake' of '_ssl._SSLSocket' objects}
 4761/200    0.030    0.000    0.084    0.000 sre_parse.py:494(_parse)
        1    0.027    0.027    0.027    0.027 {method 'connect' of '_socket.socket' objects}
     2813    0.024    0.000    0.130    0.000 parser.py:300(parse_starttag)
    26171    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
 5522/191    0.018    0.000    0.039    0.000 sre_compile.py:87(_compile)
        2    0.017    0.008    0.207    0.103 parser.py:133(goahead)
      164    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
       39    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2814    0.010    0.000    0.029    0.000 element.py:1618(__init__)
     2813    0.010    0.000    0.014    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2813    0.009    0.000    0.061    0.000 __init__.py:987(handle_starttag)
    25523    0.009    0.000    0.009    0.000 sre_parse.py:234(__next)
     2813    0.009    0.000    0.073    0.000 _htmlparser.py:142(handle_starttag)
      903    0.008    0.000    0.011    0.000 sre_compile.py:292(_optimize_charset)
    29603    0.008    0.000    0.011    0.000 sre_parse.py:165(__getitem__)
 5469/372    0.008    0.000    0.010    0.000 sre_parse.py:175(getwidth)
     8214    0.007    0.000    0.007    0.000 element.py:376(setup)
     5872    0.007    0.000    0.032    0.000 __init__.py:826(endData)
    86614    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
69603/63279    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     2664    0.006    0.000    0.039    0.000 parser.py:385(parse_endtag)
 1272/192    0.006    0.000    0.084    0.000 sre_parse.py:436(_parse_sub)
  573/570    0.006    0.000    0.066    0.000 {built-in method builtins.__build_class__}
55995/55991    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    11229    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     2812    0.005    0.000    0.010    0.000 __init__.py:950(_popToTag)
     2814    0.005    0.000    0.006    0.000 __init__.py:809(pushTag)
     2700    0.005    0.000    0.012    0.000 __init__.py:867(object_was_parsed)
    14917    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    16702    0.004    0.000    0.010    0.000 sre_parse.py:255(get)
